question_id,task_type,question_text,answer_format,ground_truth
q01,ObjectLocation,Where is the Lock currently located?,ROOM_ID,R1
q02,ObjectLocation,Where is the Guitar currently located?,ROOM_ID,R2
q03,ObjectLocation,Where is the Camera currently located?,ROOM_ID,R3
q04,ObjectLocation,Where is the Locker currently located?,ROOM_ID,R4
q05,ObjectLocation,Where is the Guitar currently located?,ROOM_ID,R5
q06,ObjectLocation,Where is the Guitar currently located?,ROOM_ID,R6
q07,ObjectLocation,Where is the Mixer currently located?,ROOM_ID,R7
q08,ObjectLocation,Where is the Gate currently located?,ROOM_ID,R8
q09,ObjectLocation,Where is the Microphone currently located?,ROOM_ID,R9
q10,ObjectLocation,Where is the Box currently located?,ROOM_ID,R10
q11,GeometryYN,Is the Library (R2) located North the Office (R10)?,YES_NO,YES
q12,GeometryYN,Is the Bathroom (R5) located at the same latitude as the Library (R8)?,YES_NO,NO
q13,GeometryYN,Is the Lab (R9) located South the Office (R4)?,YES_NO,YES
q14,GeometryYN,Is the Library (R8) located at the same latitude as the Lounge (R7)?,YES_NO,NO
q15,GeometryYN,Is the Lounge (R1) located North the Bathroom (R11)?,YES_NO,YES
q16,GeometryYN,Is the Lab (R9) located South the Classroom (R6)?,YES_NO,YES
q17,GeometryYN,Is the Classroom (R12) located South the Library (R2)?,YES_NO,YES
q18,GeometryYN,Is the Lounge (R7) located at the same latitude as the Classroom (R6)?,YES_NO,NO
q19,GeometryYN,Is the Classroom (R12) located South the Lounge (R7)?,YES_NO,YES
q20,GeometryYN,Is the Classroom (R12) located at the same latitude as the Lab (R9)?,YES_NO,NO
q21,TopologyYN,Is there a direct connection between R5 and R10?,YES_NO,NO
q22,TopologyYN,Is there a direct connection between R5 and R1?,YES_NO,NO
q23,TopologyYN,Is there a direct connection between R6 and R10?,YES_NO,NO
q24,TopologyYN,Is there a direct connection between R8 and R3?,YES_NO,NO
q25,TopologyYN,Is there a direct connection between R5 and R3?,YES_NO,NO
q26,TopologyYN,Is there a direct connection between R9 and R10?,YES_NO,YES
q27,TopologyYN,Is there a direct connection between R4 and R10?,YES_NO,NO
q28,TopologyYN,Is there a direct connection between R11 and R8?,YES_NO,NO
q29,TopologyYN,Is there a direct connection between R4 and R2?,YES_NO,NO
q30,TopologyYN,Is there a direct connection between R1 and R2?,YES_NO,YES
q31,ReachabilityYN,Can you reach R9 from R10?,YES_NO,YES
q32,ReachabilityYN,Can you reach R7 from R12?,YES_NO,YES
q33,ReachabilityYN,Can you reach R1 from R9?,YES_NO,YES
q34,ReachabilityYN,Can you reach R6 from R12?,YES_NO,YES
q35,ReachabilityYN,Can you reach R10 from R8?,YES_NO,YES
q36,ReachabilityYN,Can you reach R10 from R3?,YES_NO,YES
q37,ReachabilityYN,Can you reach R1 from R6?,YES_NO,YES
q38,ReachabilityYN,Can you reach R4 from R2?,YES_NO,YES
q39,ReachabilityYN,Can you reach R1 from R7?,YES_NO,YES
q40,ReachabilityYN,Can you reach R4 from R2?,YES_NO,YES
q41,PathGen,Provide the shortest path from R5 to R6.,PATH,R5->R6
q42,PathGen,Provide the shortest path from R12 to R10.,PATH,R12->R11->R10
q43,PathGen,Provide the shortest path from R5 to R3.,PATH,R5->R4->R3
q44,PathGen,Provide the shortest path from R8 to R12.,PATH,R8->R7->R6->R11->R12
q45,PathGen,Provide the shortest path from R6 to R12.,PATH,R6->R11->R12
q46,PathGen,Provide the shortest path from R2 to R5.,PATH,R2->R3->R4->R5
q47,PathGen,Provide the shortest path from R2 to R5.,PATH,R2->R3->R4->R5
q48,PathGen,Provide the shortest path from R9 to R5.,PATH,R9->R8->R7->R6->R5
q49,PathGen,Provide the shortest path from R3 to R12.,PATH,R3->R6->R11->R12
q50,PathGen,Provide the shortest path from R2 to R1.,PATH,R2->R1
